Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-Jan-18,1943.9,1951.2,1930,1944.3,1939.887798,713,103,1383140,332,46.56,21.2,0.4
30-Jan-18,1988.2,1988.2,1932.95,1943.1,1945.290239,2715,413,5281463,1562,57.53,55.25,-45.1
29-Jan-18,1994.95,2008.25,1980,1995.2,1998.985369,4716,439,9427215,2985,63.3,28.25,0.25
25-Jan-18,1968.05,1982,1957,1975.05,1969.780347,692,92,1363088,396,57.23,25,7
24-Jan-18,1963.05,1978.15,1953.75,1969.45,1966.392421,1557,124,3061673,964,61.91,24.4,6.4
23-Jan-18,1990,1994,1963.75,1975.05,1980.208202,634,94,1255452,295,46.53,30.25,-14.95
22-Jan-18,2020,2020,1980.55,1992.25,1994.452593,1350,179,2692511,721,53.41,39.45,-27.75
19-Jan-18,1957,2000,1938.55,1988.8,1979.249235,5882,263,11641944,3642,61.92,61.45,31.8
18-Jan-18,1947.7,1964,1925.75,1956.8,1954.728362,1502,175,2936002,824,54.86,38.25,9.1
17-Jan-18,1953.75,1971,1929.75,1961.25,1959.722907,1541,101,3019933,1229,79.75,41.25,7.5
16-Jan-18,1964.55,1964.55,1910,1956.1,1948.736091,2031,108,3957883,1643,80.9,54.55,-8.45
15-Jan-18,1949,1980,1936,1953.3,1961.393979,3820,372,7492525,2066,54.08,44,4.3
12-Jan-18,1943.55,1948,1924.95,1940.1,1935.093878,1225,137,2370490,770,62.86,23.05,-3.45
11-Jan-18,1918.8,1930,1914.05,1928.15,1925.517937,446,68,858781,252,56.5,15.95,9.35
10-Jan-18,1940,1945,1920,1924.8,1931.003044,657,99,1268669,222,33.79,25,-15.2
9-Jan-18,1914.35,1945,1871.9,1943.05,1927.95443,790,107,1523084,452,57.22,73.1,28.7
8-Jan-18,1911.85,1948,1910,1922.95,1931.988131,1348,193,2604320,796,59.05,38,11.1
5-Jan-18,1911.55,1930,1895,1921.6,1914.953747,1708,203,3270741,1123,65.75,35,10.05
4-Jan-18,1857,1915,1853.05,1897.1,1890.479694,3004,277,5679001,1661,55.29,61.95,40.1
3-Jan-18,1883.35,1893,1855.05,1863.7,1875.933014,836,122,1568280,450,53.83,37.95,-19.65
2-Jan-18,1900.8,1905.25,1868.4,1891.4,1888.367347,833,119,1573010,462,55.46,36.85,-9.4
1-Jan-18,1876,1897.4,1876,1891.7,1887.460218,641,113,1209862,399,62.25,21.4,15.7
29-Dec-17,1866.95,1875,1855.75,1872.75,1869.933257,869,66,1624972,741,85.27,19.25,5.8
28-Dec-17,1900,1900,1853,1861.9,1867.105744,766,118,1430203,457,59.66,47,-38.1
